Zeilenbeschriftungen;Summe von CNC Length
Activation-of-TLR4-STAT3-signaling-in-VTA-contributes-to-th_2017_Behavioural.txt;60
<Conclusion>;27
<Intro>;17
<Middle>;16
Acute---9-tetrahydrocannabinol-administration-in-female-rats-_2017_Behaviour.txt;119
<Conclusion>;29
<Intro>;15
<Middle>;75
A-dual-mechanism-underlying-alpha-lateralization-in-attent_2017_Biological-P.txt;116
<Conclusion>;15
<Intro>;41
<Middle>;60
Atypical-interference-control-in-children-with-AD-HD-wit_2017_Biological-Psy.txt;53
<Conclusion>;25
<Intro>;19
<Middle>;9
Blunted-neural-response-to-implicit-negative-facial-affe_2017_Biological-Psy.txt;119
<Conclusion>;12
<Intro>;6
<Middle>;101
Boldness-psychopathic-traits-predict-reduced-gaze-toward-fe_2017_Biological-.txt;73
<Conclusion>;31
<Intro>;15
<Middle>;27
Chronic-traumatic-stress-impairs-memory-in-mice--Potential-ro_2017_Behaviour.txt;122
<Conclusion>;18
<Middle>;104
Deficient-prepulse-inhibition-of-the-startle-reflex-in-sch_2017_Biological-P.txt;21
<Conclusion>;3
<Intro>;9
<Middle>;9
Developmental-suppression-of-forebrain-trkA-receptors-and-_2017_Behavioural-.txt;125
<Conclusion>;18
<Intro>;9
<Middle>;98
Development-of-an-opioid-self-administration-assay-to-_2017_Behavioural-Brai.txt;61
<Conclusion>;6
<Intro>;10
<Middle>;45
Differential-behavioral-effects-of-ethanol-pre-exposure-_2017_Behavioural-Br.txt;187
<Conclusion>;48
<Intro>;6
<Middle>;133
Distraction-coping-predicts-better-cortisol-recovery-afte_2017_Biological-Ps.txt;140
<Conclusion>;27
<Intro>;51
<Middle>;62
Dopaminergic-responses-in-the-core-part-of-the-nucleus-accumbe_2017_Behaviou.txt;39
<Conclusion>;3
<Intro>;9
<Middle>;27
Effect-of-acute-and-subchronic-stress-on-electrical-activity-_2017_Behaviour.txt;71
<Conclusion>;24
<Intro>;9
<Middle>;38
Effects-of-curcumin-on-short-term-spatial-and-recognition-mem_2017_Behaviour.txt;65
<Conclusion>;15
<Intro>;9
<Middle>;41
Environmental-enrichment-protects-spatial-learning-and-hippo_2017_Behavioura.txt;59
<Conclusion>;21
<Intro>;6
<Middle>;32
Fbxl4-Serves-as-a-Clock-Output-Molecule-that-Regulates-Sleep-th_2017_Current.txt;82
<Conclusion>;35
<Intro>;6
<Middle>;41
Games-people-play--How-video-games-improve-probabi_2017_Behavioural-Brain-Re.txt;108
<Conclusion>;39
<Intro>;18
<Middle>;51
Gene-by-cognition-interaction-on-stress-induced-attention-bi_2017_Biological.txt;105
<Conclusion>;15
<Intro>;90
Genetic-and-Epigenetic-Strategies-Potentiate-Gal4-Activation-t_2017_Current-.txt;37
<Conclusion>;3
<Intro>;3
<Middle>;31
Heart-rate-variability-is-enhanced-by-long-lasting-pleasa_2017_Biological-Ps.txt;151
<Conclusion>;25
<Intro>;7
<Middle>;119
Heart-rate-variability-predicts-inhibitory-control-in-adu_2017_Biological-Ps.txt;154
<Conclusion>;30
<Intro>;51
<Middle>;73
Heart-rate-variability-reactivity-and-new-romance--Caus_2017_Biological-Psyc.txt;88
<Conclusion>;25
<Intro>;15
<Middle>;48
Individual-differences-in-the-processing-of-smoking-cessati_2017_Biological-.txt;89
<Conclusion>;18
<Intro>;33
<Middle>;38
Interaction-between-prenatal-risk-and-infant-parasympathetic_2017_Biological.txt;72
<Conclusion>;21
<Intro>;12
<Middle>;39
Intermittent-hypoxia-caused-cognitive-dysfunction-relat_2017_Behavioural-Bra.txt;92
<Conclusion>;32
<Intro>;3
<Middle>;57
-Lacking-warmth---Alexithymia-trait-is-related-to-warm-spe_2017_Biological-P.txt;87
<Conclusion>;22
<Intro>;12
<Middle>;53
Lateral-masking-effects-on-contrast-sensitivity-_2017_Behavioural-Brain-Rese.txt;78
<Conclusion>;3
<Intro>;6
<Middle>;69
Local-Signals-in-Mouse-Horizontal-Cell-Dendrites_2017_Current-Biology.txt;64
<Conclusion>;15
<Intro>;3
<Middle>;46
Magnetic-resonance-spectroscopy-analysis-of-neurochemical-_2017_Behavioural-.txt;35
<Conclusion>;6
<Intro>;3
<Middle>;26
May-the-use-of-different-background-strains--strain--the_2017_Behavioural-Br.txt;65
<Conclusion>;6
<Middle>;59
Neocortical-prodynorphin-expression-is-transiently-increased-_2017_Behaviour.txt;53
<Conclusion>;7
<Intro>;22
<Middle>;24
Neural-correlates-of-prosocial-behavior-towards-persons-i_2017_Biological-Ps.txt;89
<Conclusion>;9
<Intro>;6
<Middle>;74
Neural-signals-of-selective-attention-are-modulated-by-subje_2017_Biological.txt;45
<Conclusion>;9
<Middle>;36
