	Subcorpus	Type of Article	Article	Teil	Sentence number	CNC String	CNC Length	Words before
0	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	16.0	target population sizes	3.0	225.0
1	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	38.0	decision analysis framework	3.0	578.0
2	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	42.0	population supplementation tools	3.0	680.0
3	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	52.0	alternative supplementation strategies	3.0	859.0
4	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	54.0	baseline recovery target	3.0	955.0
5	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	55.0	population viability analysis	3.0	980.0
6	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	60.0	resource management decisions	3.0	1085.0
7	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	70.0	stepsensitivity analyses	3.0	1294.0
8	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	73.0	Decision analysis models	3.0	1330.0
9	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	86.0	breeding supplementation programs	3.0	1517.0
10	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	92.0	baseline management target	3.0	1571.0
11	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	94.0	frog recovery plan	3.0	1625.0
12	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	94.0	extinction risk threshold	3.0	1636.0
13	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	98.0	Demographic population models	3.0	1698.0
14	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	109.0	pretiosa extinction risk	3.0	1869.0
15	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	113.0	supplementation pathway rankings	3.0	1985.0
16	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	119.0	ﬁrst sensitivity analysis	3.0	2052.0
17	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	125.0	reduceextinction risk	3.0	2174.0
18	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	135.0	pretiosa recovery efforts	3.0	2395.0
19	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	138.0	pretiosa recovery efforts	3.0	2449.0
20	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	144.0	effort estimating costs	3.0	2579.0
21	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	153.0	reduceextinction risk	3.0	2734.0
22	economics_intros	Quant/Qual	A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	161.0	breedrelease offspring	3.0	2943.0
