	Subcorpus	Type of Article	Article	Teil	WordsN	NounsN
0	biology_intros		-Lacking-warmth---Alexithymia-trait-is-related-to-warm-spe_2017_Biological-P.txt	<Intro>	1158.0	321.0
1	biology_intros		-Lacking-warmth---Alexithymia-trait-is-related-to-warm-spe_2017_Biological-P.txt	<Middle>	3285.0	903.0
2	biology_intros		-Lacking-warmth---Alexithymia-trait-is-related-to-warm-spe_2017_Biological-P.txt	<Conclusion>	1848.0	539.0
3	biology_intros		A-dual-mechanism-underlying-alpha-lateralization-in-attent_2017_Biological-P.txt	<Intro>	1168.0	313.0
4	biology_intros		A-dual-mechanism-underlying-alpha-lateralization-in-attent_2017_Biological-P.txt	<Middle>	2442.0	698.0
5	biology_intros		A-dual-mechanism-underlying-alpha-lateralization-in-attent_2017_Biological-P.txt	<Conclusion>	1421.0	393.0
6	biology_intros		Activation-of-TLR4-STAT3-signaling-in-VTA-contributes-to-th_2017_Behavioural.txt	<Intro>	376.0	122.0
7	biology_intros		Activation-of-TLR4-STAT3-signaling-in-VTA-contributes-to-th_2017_Behavioural.txt	<Middle>	2531.0	713.0
8	biology_intros		Activation-of-TLR4-STAT3-signaling-in-VTA-contributes-to-th_2017_Behavioural.txt	<Conclusion>	695.0	218.0
9	biology_intros		Acute---9-tetrahydrocannabinol-administration-in-female-rats-_2017_Behaviour.txt	<Intro>	800.0	245.0
10	biology_intros		Acute---9-tetrahydrocannabinol-administration-in-female-rats-_2017_Behaviour.txt	<Middle>	2922.0	860.0
11	biology_intros		Acute---9-tetrahydrocannabinol-administration-in-female-rats-_2017_Behaviour.txt	<Conclusion>	1565.0	437.0
12	biology_intros		Atypical-interference-control-in-children-with-AD-HD-wit_2017_Biological-Psy.txt	<Intro>	1205.0	316.0
13	biology_intros		Atypical-interference-control-in-children-with-AD-HD-wit_2017_Biological-Psy.txt	<Middle>	2166.0	451.0
14	biology_intros		Atypical-interference-control-in-children-with-AD-HD-wit_2017_Biological-Psy.txt	<Conclusion>	1551.0	419.0
15	biology_intros		Blunted-neural-response-to-implicit-negative-facial-affe_2017_Biological-Psy.txt	<Intro>	755.0	205.0
16	biology_intros		Blunted-neural-response-to-implicit-negative-facial-affe_2017_Biological-Psy.txt	<Middle>	2203.0	600.0
