	Subcorpus	Type of Article	Article	Teil	WordsN	NounsN	CNCsNounsN
0	biology_intros		-Lacking-warmth---Alexithymia-trait-is-related-to-warm-spe_2017_Biological-P.txt	<Intro>	1158.0	321.0	12
1	biology_intros		-Lacking-warmth---Alexithymia-trait-is-related-to-warm-spe_2017_Biological-P.txt	<Middle>	3285.0	903.0	53
2	biology_intros		-Lacking-warmth---Alexithymia-trait-is-related-to-warm-spe_2017_Biological-P.txt	<Conclusion>	1848.0	539.0	22
3	biology_intros		A-dual-mechanism-underlying-alpha-lateralization-in-attent_2017_Biological-P.txt	<Intro>	1168.0	313.0	41
4	biology_intros		A-dual-mechanism-underlying-alpha-lateralization-in-attent_2017_Biological-P.txt	<Middle>	2442.0	698.0	60
5	biology_intros		A-dual-mechanism-underlying-alpha-lateralization-in-attent_2017_Biological-P.txt	<Conclusion>	1421.0	393.0	15
6	biology_intros		Activation-of-TLR4-STAT3-signaling-in-VTA-contributes-to-th_2017_Behavioural.txt	<Intro>	376.0	122.0	17
7	biology_intros		Activation-of-TLR4-STAT3-signaling-in-VTA-contributes-to-th_2017_Behavioural.txt	<Middle>	2531.0	713.0	16
8	biology_intros		Activation-of-TLR4-STAT3-signaling-in-VTA-contributes-to-th_2017_Behavioural.txt	<Conclusion>	695.0	218.0	27
9	biology_intros		Acute---9-tetrahydrocannabinol-administration-in-female-rats-_2017_Behaviour.txt	<Intro>	800.0	245.0	15
10	biology_intros		Acute---9-tetrahydrocannabinol-administration-in-female-rats-_2017_Behaviour.txt	<Middle>	2922.0	860.0	75
11	biology_intros		Acute---9-tetrahydrocannabinol-administration-in-female-rats-_2017_Behaviour.txt	<Conclusion>	1565.0	437.0	29
12	biology_intros		Atypical-interference-control-in-children-with-AD-HD-wit_2017_Biological-Psy.txt	<Intro>	1205.0	316.0	19
13	biology_intros		Atypical-interference-control-in-children-with-AD-HD-wit_2017_Biological-Psy.txt	<Middle>	2166.0	451.0	9
14	biology_intros		Atypical-interference-control-in-children-with-AD-HD-wit_2017_Biological-Psy.txt	<Conclusion>	1551.0	419.0	25
15	biology_intros		Blunted-neural-response-to-implicit-negative-facial-affe_2017_Biological-Psy.txt	<Intro>	755.0	205.0	6
16	biology_intros		Blunted-neural-response-to-implicit-negative-facial-affe_2017_Biological-Psy.txt	<Middle>	2203.0	600.0	101
17	biology_intros		Blunted-neural-response-to-implicit-negative-facial-affe_2017_Biological-Psy.txt	<Conclusion>	1307.0	343.0	12
18	biology_intros		Boldness-psychopathic-traits-predict-reduced-gaze-toward-fe_2017_Biological-.txt	<Intro>	1234.0	342.0	15
19	biology_intros		Boldness-psychopathic-traits-predict-reduced-gaze-toward-fe_2017_Biological-.txt	<Middle>	3388.0	773.0	27
20	biology_intros		Boldness-psychopathic-traits-predict-reduced-gaze-toward-fe_2017_Biological-.txt	<Conclusion>	1787.0	506.0	31
21	biology_intros		Chronic-traumatic-stress-impairs-memory-in-mice--Potential-ro_2017_Behaviour.txt	<Intro>	493.0	165.0	
22	biology_intros		Chronic-traumatic-stress-impairs-memory-in-mice--Potential-ro_2017_Behaviour.txt	<Middle>	2050.0	637.0	104
23	biology_intros		Chronic-traumatic-stress-impairs-memory-in-mice--Potential-ro_2017_Behaviour.txt	<Conclusion>	1336.0	431.0	18
24	biology_intros		Deficient-prepulse-inhibition-of-the-startle-reflex-in-sch_2017_Biological-P.txt	<Intro>	618.0	151.0	9
25	biology_intros		Deficient-prepulse-inhibition-of-the-startle-reflex-in-sch_2017_Biological-P.txt	<Middle>	1595.0	411.0	9
26	biology_intros		Deficient-prepulse-inhibition-of-the-startle-reflex-in-sch_2017_Biological-P.txt	<Conclusion>	949.0	213.0	3
27	biology_intros		Development-of-an-opioid-self-administration-assay-to-_2017_Behavioural-Brai.txt	<Intro>	728.0	221.0	10
28	biology_intros		Development-of-an-opioid-self-administration-assay-to-_2017_Behavioural-Brai.txt	<Middle>	3338.0	960.0	45
29	biology_intros		Development-of-an-opioid-self-administration-assay-to-_2017_Behavioural-Brai.txt	<Conclusion>	1746.0	509.0	6
30	biology_intros		Developmental-suppression-of-forebrain-trkA-receptors-and-_2017_Behavioural-.txt	<Intro>	651.0	191.0	9
31	biology_intros		Developmental-suppression-of-forebrain-trkA-receptors-and-_2017_Behavioural-.txt	<Middle>	4787.0	1452.0	98
32	biology_intros		Developmental-suppression-of-forebrain-trkA-receptors-and-_2017_Behavioural-.txt	<Conclusion>	1354.0	413.0	18
33	biology_intros		Differential-behavioral-effects-of-ethanol-pre-exposure-_2017_Behavioural-Br.txt	<Intro>	775.0	242.0	6
34	biology_intros		Differential-behavioral-effects-of-ethanol-pre-exposure-_2017_Behavioural-Br.txt	<Middle>	4129.0	1253.0	133
35	biology_intros		Differential-behavioral-effects-of-ethanol-pre-exposure-_2017_Behavioural-Br.txt	<Conclusion>	2223.0	728.0	48
