	Subcorpus	Type of Article	Article	Teil	WordsN	NounsN
0	economics_intros		-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	1806.0	607.0
1	economics_intros		-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	4009.0	1076.0
2	economics_intros		-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Conclusion>	565.0	184.0
3	economics_intros		A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Intro>	1191.0	387.0
4	economics_intros		A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	3545.0	1090.0
5	economics_intros		A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Conclusion>	717.0	216.0
6	economics_intros		Accounting-conservatism-and-firm-investment_2016_Journal-of-Accounting-and-E.txt	<Intro>	2746.0	821.0
7	economics_intros		Accounting-conservatism-and-firm-investment_2016_Journal-of-Accounting-and-E.txt	<Middle>	5366.0	1555.0
8	economics_intros		Accounting-conservatism-and-firm-investment_2016_Journal-of-Accounting-and-E.txt	<Conclusion>	237.0	69.0
9	economics_intros		Aggregate-earnings-surprises--monetary-policy-_2016_Journal-of-Accounting-an.txt	<Intro>	2320.0	754.0
10	economics_intros		Aggregate-earnings-surprises--monetary-policy-_2016_Journal-of-Accounting-an.txt	<Middle>	4493.0	1274.0
11	economics_intros		Aggregate-earnings-surprises--monetary-policy-_2016_Journal-of-Accounting-an.txt	<Conclusion>	240.0	78.0
12	economics_intros		Airfares-and-oil-prices---Feathers-and-Rockets--adjustme_2017_Energy-Economi.txt	<Intro>	1143.0	395.0
13	economics_intros		Airfares-and-oil-prices---Feathers-and-Rockets--adjustme_2017_Energy-Economi.txt	<Middle>	1892.0	524.0
14	economics_intros		Airfares-and-oil-prices---Feathers-and-Rockets--adjustme_2017_Energy-Economi.txt	<Conclusion>	2775.0	872.0
15	economics_intros		An-Agent-based-Model-of-the-South-African-Offshore-Hake-Trawl_2017_Ecologica.txt	<Intro>	1318.0	395.0
16	economics_intros		An-Agent-based-Model-of-the-South-African-Offshore-Hake-Trawl_2017_Ecologica.txt	<Middle>	4984.0	1510.0
17	economics_intros		An-Agent-based-Model-of-the-South-African-Offshore-Hake-Trawl_2017_Ecologica.txt	<Conclusion>	1284.0	419.0
18	economics_intros		An-Agent-based-Model-of-the-South-African-Offshore-Hake-Traw_2017_Ecological.txt	<Intro>	1019.0	290.0
19	economics_intros		An-Agent-based-Model-of-the-South-African-Offshore-Hake-Traw_2017_Ecological.txt	<Middle>	2557.0	783.0
20	economics_intros		An-Agent-based-Model-of-the-South-African-Offshore-Hake-Traw_2017_Ecological.txt	<Conclusion>	547.0	168.0
21	economics_intros		CEO-turnover-in-large-banks--Does-tail-ris_2017_Journal-of-Accounting-and-Ec.txt	<Intro>	2821.0	879.0
22	economics_intros		CEO-turnover-in-large-banks--Does-tail-ris_2017_Journal-of-Accounting-and-Ec.txt	<Middle>	5651.0	1678.0
23	economics_intros		CEO-turnover-in-large-banks--Does-tail-ris_2017_Journal-of-Accounting-and-Ec.txt	<Conclusion>	181.0	62.0
24	economics_intros		Common-auditors-in-M-amp-A-transactio_2016_Journal-of-Accounting-and-Economi.txt	<Intro>	3114.0	946.0
