	Subcorpus	Type of Article	Article	Teil	Sentence number	CNC String	CNC Length	Words before
00	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	6.0	large index investment ﬂow	4.0	141.0
01	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	6.0	commodity futures markets	3.0	165.0
02	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	15.0	oil price increase	3.0	351.0
03	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	17.0	stronger investor interest	3.0	414.0
04	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	22.0	commodity returns correlation	3.0	561.0
05	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	25.0	stock market volatility	3.0	622.0
06	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	25.0	gas price ﬂuctuations	3.0	632.0
07	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	28.0	stock market instability	3.0	698.0
08	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	32.0	investor risk appetite	3.0	740.0
09	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	33.0	stock market investment risk appetite	5.0	770.0
010	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	39.0	stock market risk aversion	4.0	912.0
011	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	40.0	gas market volatility	3.0	945.0
012	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	47.0	stock market panic	3.0	1063.0
013	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	58.0	high option price	3.0	1230.0
014	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	59.0	“investor fear gauge”	3.0	1255.0
015	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	61.0	stock market VIX	3.0	1302.0
016	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	62.0	stock market return	3.0	1328.0
017	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	63.0	market risk perception	3.0	1354.0
018	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	64.0	stock market VIX	3.0	1397.0
019	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	66.0	gas market prices	3.0	1470.0
020	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	73.0	stock market VIX	3.0	1658.0
021	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	74.0	stock market VIX	3.0	1669.0
022	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	77.0	threshold volatility spillover	3.0	1760.0
023	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	77.0	stock market VIX	3.0	1765.0
024	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	83.0	stock markets VIX	3.0	1822.0
025	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	91.0	unit root test	3.0	1959.0
026	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	114.0	volatility threshold dummies	3.0	2424.0
027	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	140.0	crude oil series	3.0	2840.0
028	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	144.0	Skewnessgas series	3.0	2900.0
029	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	155.0	threshold calibration approach	3.0	3043.0
030	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	165.0	non-linear threshold grid search	4.0	3096.0
031	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	233.0	Further cross-market linkages	3.0	4055.0
032	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	253.0	oil price swing	3.0	4353.0
033	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	321.0	volatility threshold structure	3.0	5503.0
034	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	321.0	stock market VIX	3.0	5515.0
035	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	331.0	transition probability pbb	3.0	5713.0
036	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Conclusion>	338.0	stock market volatility series experience	5.0	5851.0
037	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Conclusion>	339.0	central research question	3.0	5872.0
038	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Conclusion>	342.0	endogenous break point	3.0	5970.0
039	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Conclusion>	355.0	market risk aversion	3.0	6223.0
040	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Conclusion>	356.0	broad market indexes	3.0	6237.0
079	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Intro>	1.0	National oil companies	3.0	5.0
080	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Intro>	9.0	particular employment policy	3.0	162.0
081	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Intro>	15.0	NOCs’commercialobjectiveisverymuchlikethoseofinternational oil companies	3.0	301.0
082	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Intro>	28.0	widespread incentive practice	3.0	495.0
083	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Intro>	42.0	characteristics petrochemical properties	3.0	860.0
084	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	61.0	world oil supply	3.0	1280.0
085	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	61.0	world gas supply	3.0	1291.0
086	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	61.0	world oil reserves	3.0	1299.0
087	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	76.0	NOC eﬃciency measures	3.0	1562.0
088	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	100.0	Terryrecovery factor	3.0	1998.0
089	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	107.0	exploration investment rate	3.0	2112.0
090	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	109.0	recovery investment rate	3.0	2167.0
091	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	115.0	optimal production rate	3.0	2240.0
092	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	118.0	oil extraction rate	3.0	2285.0
093	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	118.0	maximum production capacity	3.0	2289.0
094	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	122.0	optimal exploration investment rate	4.0	2382.0
095	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	123.0	EOR investment rate	3.0	2418.0
096	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	127.0	recovery investment rate	3.0	2483.0
097	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	138.0	owner– manager relation	3.0	2621.0
098	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	143.0	way employment levels	3.0	2703.0
099	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	147.0	domestic fuel price	3.0	2749.0
0100	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	152.0	domestic fuel subsidy	3.0	2848.0
0101	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	160.0	fuel price scenarios	3.0	3005.0
0102	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	165.0	production cost rises	3.0	3050.0
0103	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	189.0	base scenario condition	3.0	3464.0
0104	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	190.0	maximum production capacity	3.0	3512.0
0105	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	231.0	optimal production rate schedule	4.0	4145.0
0106	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	231.0	maximum production rate	3.0	4155.0
0107	economics_intros	Quant/Qual	A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	239.0	exploration investment schedule	3.0	4294.0
