	Subcorpus	Type of Article	Article	Teil	Sentence number	CNC String	CNC Length	Words before
0	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	3.0	institutions insurance companies	3.0	56.0
1	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	7.0	commodity futures markets	3.0	103.0
2	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	9.0	large index investment ﬂow	4.0	147.0
3	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	9.0	commodity futures markets	3.0	171.0
4	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	18.0	oil price increase	3.0	357.0
5	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	20.0	stronger investor interest	3.0	420.0
6	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	26.0	commodity futures returns	3.0	534.0
7	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	26.0	volatility index VIX	3.0	565.0
8	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	26.0	commodity returns correlation	3.0	569.0
9	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	29.0	stock market volatility	3.0	630.0
10	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	29.0	gas price ﬂuctuations	3.0	640.0
11	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	30.0	stock market returns	3.0	682.0
12	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	32.0	stock market instability	3.0	706.0
13	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	37.0	investor risk appetite	3.0	750.0
14	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	39.0	stock market investment risk appetite	5.0	782.0
15	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	41.0	volatility index VIX	3.0	802.0
16	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	47.0	stock market risk aversion	4.0	928.0
17	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	48.0	gas market volatility	3.0	961.0
18	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	55.0	stock market panic	3.0	1079.0
19	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	66.0	high option price	3.0	1246.0
20	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	67.0	“investor fear gauge”	3.0	1271.0
21	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	70.0	stock market VIX	3.0	1320.0
22	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	71.0	stock market return	3.0	1346.0
23	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	73.0	long-run equilibrium relationship	3.0	1377.0
24	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	74.0	stock market VIX	3.0	1416.0
25	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	78.0	gas market prices	3.0	1493.0
26	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	86.0	stock market VIX	3.0	1683.0
27	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	87.0	stock market VIX	3.0	1694.0
28	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	90.0	threshold volatility spillover	3.0	1785.0
29	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	90.0	stock market VIX	3.0	1790.0
30	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	91.0	gas market ﬂuctuations	3.0	1821.0
31	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	96.0	stock markets VIX	3.0	1847.0
32	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	104.0	unit root test	3.0	1984.0
33	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	130.0	volatility threshold dummies νij	4.0	2451.0
34	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	156.0	crude oil series	3.0	2868.0
35	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	171.0	empirical implementation below	3.0	3066.0
36	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	171.0	threshold calibration approach	3.0	3071.0
37	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	181.0	non-linear threshold grid search	4.0	3124.0
38	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	214.0	natural gas series	3.0	3462.0
39	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	249.0	Further cross-market linkages	3.0	4083.0
40	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	269.0	oil price swing	3.0	4381.0
41	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	287.0	threshold violation analysis	3.0	4774.0
42	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	337.0	volatility threshold structure	3.0	5531.0
43	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	337.0	stock market VIX	3.0	5543.0
44	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	340.0	modeling asset prices	3.0	5599.0
45	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	347.0	transition probability pbb	3.0	5741.0
46	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Conclusion>	354.0	stock market volatility series experience	5.0	5879.0
47	economics_intros	Quant/Qual	-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Conclusion>	355.0	central research question	3.0	5900.0
