	Subcorpus	Type of Article	Article	Teil	WordsN	NounsN	CNCsNounsN
0	economics_intros		-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Intro>	1831.0	608.0	97.0
1	economics_intros		-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Middle>	4012.0	1075.0	47.0
2	economics_intros		-De-financialization--of-commodities--Evidence-from-stock--c_2017_Energy-Eco.txt	<Conclusion>	566.0	185.0	20.0
3	economics_intros		A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Intro>	1452.0	417.0	27.0
4	economics_intros		A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Middle>	1999.0	580.0	43.0
5	economics_intros		A-Decision-theory-Approach-to-Cost-effective-Population-Su_2017_Ecological-E.txt	<Conclusion>	1866.0	585.0	40.0
6	economics_intros		A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Intro>	1202.0	386.0	31.0
7	economics_intros		A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Middle>	3558.0	1087.0	108.0
8	economics_intros		A-model-to-assess-the-impact-of-employment-policy-and-subsidiz_2017_Energy-E.txt	<Conclusion>	718.0	217.0	3.0
9	economics_intros		A-Multi-region-Structural-Decomposition-Analysis-of-Globa_2017_Ecological-Ec.txt	<Intro>	1244.0	392.0	39.0
10	economics_intros		A-Multi-region-Structural-Decomposition-Analysis-of-Globa_2017_Ecological-Ec.txt	<Middle>	3897.0	1066.0	124.0
11	economics_intros		A-Multi-region-Structural-Decomposition-Analysis-of-Globa_2017_Ecological-Ec.txt	<Conclusion>	1087.0	323.0	36.0
12	economics_intros		A-regime-switching-copula-approach-to-modeling-day-ahead-pri_2017_Energy-Eco.txt	<Intro>	1236.0	355.0	39.0
13	economics_intros		A-regime-switching-copula-approach-to-modeling-day-ahead-pri_2017_Energy-Eco.txt	<Middle>	7580.0	1952.0	169.0
14	economics_intros		A-regime-switching-copula-approach-to-modeling-day-ahead-pri_2017_Energy-Eco.txt	<Conclusion>	957.0	279.0	12.0
15	economics_intros		Accounting-conservatism-and-firm-investment_2016_Journal-of-Accounting-and-E.txt	<Intro>	2776.0	821.0	13.0
16	economics_intros		Accounting-conservatism-and-firm-investment_2016_Journal-of-Accounting-and-E.txt	<Middle>	5391.0	1550.0	78.0
17	economics_intros		Accounting-conservatism-and-firm-investment_2016_Journal-of-Accounting-and-E.txt	<Conclusion>	246.0	70.0	0.0
18	economics_intros		Aggregate-earnings-surprises--monetary-policy-_2016_Journal-of-Accounting-an.txt	<Intro>	2330.0	751.0	82.0
19	economics_intros		Aggregate-earnings-surprises--monetary-policy-_2016_Journal-of-Accounting-an.txt	<Middle>	4499.0	1272.0	141.0
20	economics_intros		Aggregate-earnings-surprises--monetary-policy-_2016_Journal-of-Accounting-an.txt	<Conclusion>	241.0	79.0	9.0
21	economics_intros		Airfares-and-oil-prices---Feathers-and-Rockets--adjustme_2017_Energy-Economi.txt	<Intro>	1147.0	396.0	21.0
22	economics_intros		Airfares-and-oil-prices---Feathers-and-Rockets--adjustme_2017_Energy-Economi.txt	<Middle>	1895.0	524.0	45.0
23	economics_intros		Airfares-and-oil-prices---Feathers-and-Rockets--adjustme_2017_Energy-Economi.txt	<Conclusion>	2776.0	873.0	46.0
24	economics_intros		An-Agent-based-Model-of-the-South-African-Offshore-Hake-Trawl_2017_Ecologica.txt	<Intro>	1352.0	393.0	46.0
25	economics_intros		An-Agent-based-Model-of-the-South-African-Offshore-Hake-Trawl_2017_Ecologica.txt	<Middle>	5020.0	1508.0	119.0
26	economics_intros		An-Agent-based-Model-of-the-South-African-Offshore-Hake-Trawl_2017_Ecologica.txt	<Conclusion>	1286.0	420.0	32.0
27	economics_intros		An-Agent-based-Model-of-the-South-African-Offshore-Hake-Traw_2017_Ecological.txt	<Intro>	1063.0	291.0	21.0
28	economics_intros		An-Agent-based-Model-of-the-South-African-Offshore-Hake-Traw_2017_Ecological.txt	<Middle>	2593.0	782.0	68.0
29	economics_intros		An-Agent-based-Model-of-the-South-African-Offshore-Hake-Traw_2017_Ecological.txt	<Conclusion>	550.0	169.0	19.0
30	economics_intros		An-Economic-Analysis-of-the-Threats-Posed-by-the-Establishm_2017_Ecological-.txt	<Intro>	1030.0	248.0	19.0
31	economics_intros		An-Economic-Analysis-of-the-Threats-Posed-by-the-Establishm_2017_Ecological-.txt	<Middle>	3663.0	1006.0	70.0
32	economics_intros		An-Economic-Analysis-of-the-Threats-Posed-by-the-Establishm_2017_Ecological-.txt	<Conclusion>	2022.0	481.0	23.0
33	economics_intros		An-investigation-of-renewable-and-non-renewable-energy-consumpti_2017_Energy.txt	<Intro>	5319.0	1564.0	144.0
34	economics_intros		An-investigation-of-renewable-and-non-renewable-energy-consumpti_2017_Energy.txt	<Middle>	3557.0	1046.0	37.0
35	economics_intros		An-investigation-of-renewable-and-non-renewable-energy-consumpti_2017_Energy.txt	<Conclusion>	354.0	115.0	6.0
36	economics_intros		Are-we-in-deep-water--Water-scarcity-and-its-limits-to-_2017_Ecological-Econ.txt	<Intro>	1512.0	478.0	50.0
37	economics_intros		Are-we-in-deep-water--Water-scarcity-and-its-limits-to-_2017_Ecological-Econ.txt	<Middle>	6277.0	1698.0	112.0
38	economics_intros		Are-we-in-deep-water--Water-scarcity-and-its-limits-to-_2017_Ecological-Econ.txt	<Conclusion>	1425.0	416.0	24.0
39	economics_intros		Borrower-private-information-covenants-and-loa_2017_Journal-of-Accounting-an.txt	<Intro>	5160.0	1682.0	189.0
40	economics_intros		Borrower-private-information-covenants-and-loa_2017_Journal-of-Accounting-an.txt	<Middle>	6129.0	1862.0	257.0
41	economics_intros		Borrower-private-information-covenants-and-loa_2017_Journal-of-Accounting-an.txt	<Conclusion>	971.0	329.0	56.0
42	economics_intros		Bounds-testing-approach-to-analyzing-the-environment-Kuznets-cur_2017_Energy.txt	<Intro>	3562.0	1155.0	96.0
43	economics_intros		Bounds-testing-approach-to-analyzing-the-environment-Kuznets-cur_2017_Energy.txt	<Middle>	3622.0	1181.0	151.0
