	Subcorpus	Type of Article	Article	Teil	Sentence number	CNC String	CNC Length	Words before
0	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Intro>	17.0	action naming skills	3.0	165.0
1	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Intro>	101.0	speech input patterns	3.0	1679.0
2	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Intro>	126.0	picture naming task	3.0	2008.0
3	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Intro>	210.0	object picture naming	3.0	3451.0
4	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Middle>	226.0	action naming tasks	3.0	3712.0
5	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Middle>	227.0	original  objects	3.0	3737.0
6	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Middle>	233.0	-point scale 	3.0	3870.0
7	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Middle>	286.0	reaction times RTs	3.0	4671.0
8	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Middle>	317.0	factor Age F	3.0	5104.0
9	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Middle>	319.0	naming latencies F	3.0	5184.0
10	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Middle>	326.0	cases AoA estimates	3.0	5296.0
11	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Middle>	330.0	object– action differences	3.0	5360.0
12	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Middle>	373.0	frequent error categories	3.0	6181.0
13	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Middle>	387.0	‘swims’ galleggia ‘floats’	3.0	6387.0
14	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Conclusion>	446.0	words labelling concepts	3.0	7676.0
15	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Conclusion>	473.0	picture naming task	3.0	8324.0
16	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Conclusion>	488.0	child age groups	3.0	8540.0
17	linguistics_intros	Quant/Qual	Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Conclusion>	490.0	picture type differences	3.0	8570.0
18	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Intro>	5.0	heritage language HL	3.0	43.0
19	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Intro>	69.0	minority language Welsh	3.0	1080.0
20	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Intro>	99.0	complexity interface nature	3.0	1593.0
21	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Intro>	142.0	fiction verbs d	3.0	2502.0
22	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Intro>	174.0	sentence completion task	3.0	2985.0
23	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Intro>	182.0	adult accuracy rate	3.0	3091.0
24	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Intro>	222.0	matrix predicate Meinunger	3.0	3740.0
25	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Intro>	235.0	Portuguese Romance languages	3.0	3962.0
26	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Middle>	254.0	youngest age groups	3.0	4296.0
27	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Middle>	258.0	with mean age	3.0	4367.0
28	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Middle>	259.0	parents’ migration background	3.0	4405.0
29	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Middle>	398.0	second research question	3.0	6383.0
30	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Middle>	401.0	case child HSs	3.0	6417.0
31	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Middle>	401.0	with second-generation parents	3.0	6439.0
32	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Middle>	433.0	same age span	3.0	6903.0
33	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Middle>	445.0	youngest child group	3.0	7104.0
34	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Middle>	447.0	second research question	3.0	7131.0
35	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Middle>	475.0	age group –·	3.0	7650.0
36	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Conclusion>	510.0	first research question	3.0	8354.0
37	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Conclusion>	513.0	children child HSs	3.0	8413.0
38	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Conclusion>	520.0	mood choice triggers	3.0	8558.0
39	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Conclusion>	522.0	child HSs children	3.0	8626.0
40	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Conclusion>	529.0	children heritage bilinguals	3.0	8770.0
41	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Conclusion>	550.0	second research question	3.0	9215.0
42	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Conclusion>	555.0	oldest age span	3.0	9293.0
43	linguistics_intros	Quant/Qual	Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Conclusion>	578.0	EP target knowledge	3.0	9632.0
44	linguistics_intros	Quant/Qual	Aptitude_and_pedagogical_conditions_in_the_early_development_of_a_nonprimary_language.txt	<Intro>	7.0	script spelling cues	3.0	83.0
45	linguistics_intros	Quant/Qual	Aptitude_and_pedagogical_conditions_in_the_early_development_of_a_nonprimary_language.txt	<Intro>	8.0	rote learning ability	3.0	100.0
46	linguistics_intros	Quant/Qual	Aptitude_and_pedagogical_conditions_in_the_early_development_of_a_nonprimary_language.txt	<Intro>	29.0	visuospatial sketch pad	3.0	432.0
47	linguistics_intros	Quant/Qual	Aptitude_and_pedagogical_conditions_in_the_early_development_of_a_nonprimary_language.txt	<Intro>	34.0	sentence span tests	3.0	566.0
48	linguistics_intros	Quant/Qual	Aptitude_and_pedagogical_conditions_in_the_early_development_of_a_nonprimary_language.txt	<Intro>	37.0	aptitude–treatment interaction ATI	3.0	629.0
49	linguistics_intros	Quant/Qual	Aptitude_and_pedagogical_conditions_in_the_early_development_of_a_nonprimary_language.txt	<Intro>	38.0	present study attempts	3.0	645.0
50	linguistics_intros	Quant/Qual	Aptitude_and_pedagogical_conditions_in_the_early_development_of_a_nonprimary_language.txt	<Intro>	66.0	grammaticality judgment posttest	3.0	1187.0
51	linguistics_intros	Quant/Qual	Aptitude_and_pedagogical_conditions_in_the_early_development_of_a_nonprimary_language.txt	<Intro>	88.0	delayed listening grammaticality judgment	4.0	1680.0
