	Subcorpus	Type of Article	Article	Teil	WordsN	NounsN	CNCsNounsN
0	linguistics_intros		Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Intro>	3638.0	1008.0	12.0
1	linguistics_intros		Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Middle>	3728.0	1041.0	30.0
2	linguistics_intros		Acquisition_of_nouns_and_verbs_in_Italian_pre-school_children_.txt	<Conclusion>	1508.0	426.0	12.0
3	linguistics_intros		Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Intro>	4091.0	1054.0	24.0
4	linguistics_intros		Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Middle>	4223.0	1235.0	30.0
5	linguistics_intros		Age_and_input_effects_in_the_acquisition_of_mood_in_Heritage_Portuguese_.txt	<Conclusion>	1374.0	401.0	24.0
6	linguistics_intros		Aptitude_and_pedagogical_conditions_in_the_early_development_of_a_nonprimary_language.txt	<Intro>	3821.0	1055.0	58.0
7	linguistics_intros		Aptitude_and_pedagogical_conditions_in_the_early_development_of_a_nonprimary_language.txt	<Middle>	3109.0	828.0	24.0
8	linguistics_intros		Aptitude_and_pedagogical_conditions_in_the_early_development_of_a_nonprimary_language.txt	<Conclusion>	2017.0	545.0	6.0
9	linguistics_intros		Assessing_understanding_of_relative_clauses_a_comparison_of_multiple-choice_comprehension_versus_sen.txt	<Intro>	1818.0	498.0	34.0
10	linguistics_intros		Assessing_understanding_of_relative_clauses_a_comparison_of_multiple-choice_comprehension_versus_sen.txt	<Middle>	3359.0	924.0	27.0
11	linguistics_intros		Assessing_understanding_of_relative_clauses_a_comparison_of_multiple-choice_comprehension_versus_sen.txt	<Conclusion>	2238.0	626.0	33.0
12	linguistics_intros		Auditory_perception_and_word_recognition_in_Cantonese-Chinese_speaking_children_with_and_without_Spe.txt	<Intro>	2185.0	567.0	34.0
13	linguistics_intros		Auditory_perception_and_word_recognition_in_Cantonese-Chinese_speaking_children_with_and_without_Spe.txt	<Middle>	4462.0	1205.0	45.0
14	linguistics_intros		Auditory_perception_and_word_recognition_in_Cantonese-Chinese_speaking_children_with_and_without_Spe.txt	<Conclusion>	2488.0	705.0	19.0
15	linguistics_intros		A_cross-linguistic_study_of_the_development_of_gesture_and_speech_in_Zulu_and_French_oral_narratives.txt	<Intro>	2535.0	679.0	22.0
16	linguistics_intros		A_cross-linguistic_study_of_the_development_of_gesture_and_speech_in_Zulu_and_French_oral_narratives.txt	<Middle>	3855.0	1112.0	45.0
17	linguistics_intros		A_cross-linguistic_study_of_the_development_of_gesture_and_speech_in_Zulu_and_French_oral_narratives.txt	<Conclusion>	1796.0	509.0	9.0
18	linguistics_intros		Bilingual_childrens_lexical_strategies_in_a_narrative_task_.txt	<Intro>	1847.0	468.0	6.0
19	linguistics_intros		Bilingual_childrens_lexical_strategies_in_a_narrative_task_.txt	<Middle>	4318.0	1119.0	30.0
20	linguistics_intros		Bilingual_childrens_lexical_strategies_in_a_narrative_task_.txt	<Conclusion>	1363.0	366.0	25.0
